Carolina_product_category,Carolina_product_sub_category,Carolina_product_id,Carolina_product_name,Carolina_product_quantity,Carolina_product_price,Carolina_product_url,Carolina_image_url,Carolina_product_desc
Biotechnology,New - Biotechnology,215105,Cryogenic Vials,1,,https://www.carolina.com/biotechnology-tubes/cryogenic-vial-externally-threaded-cap-2-ml-sterile-10-resealable-bags-of-50-500-tubes-total/215105.pr,https://www.carolina.com/images/product/large/215105.jpg,
Biotechnology,New - Biotechnology,213755,Carolina® Integrated Electrophoresis System,1,,https://www.carolina.com/elecrophoresis-chambers/carolina-integrated-electrophoresis-system-us-plug/213755.pr,https://www.carolina.com/images/product/large/213755.jpg,
Biotechnology,New - Biotechnology,214827,Authentic Inheritance Patterns Kit,1,Call For Pricing,https://www.carolina.com/human-genetics/authentic-inheritance-patterns-kit/214827.pr,https://www.carolina.com/images/product/large/214827.jpg,"Product Details See what happens when inheritance patterns walk off the pages of a textbook and into a doctor's office With the Authentic Inheritance Patterns Kit, students take on the roles of geneticist and genetic counselor to determine the genetic disease of a hypothetical 6-year-old patient named Mason, the disease's inheritance pattern, and the likelihood that other family members have the same disease. To do so, student groups each examine 1 of 5 unique scenarios that include family pedigrees. They also explore how a disease can be caused by genetic changes in many different genes and can be inherited in a dominant, recessive, or X-linked pattern. Featuring reusable case cards and decals, this kit is perfect for teaching pedigrees and inheritance within an authentic, engaging medical context. Product Features Kit materials are sufficient for 10 groups of 3 to 4 students. Kit activities are designed for a single 90-minute class period or two 45-minute periods. Materials are fully reusable. Kit also includes free 1-year access to digital resources that support 3-dimensional instruction for NGSS."
Biotechnology,New - Biotechnology,214828,How Do Polygenic Risk Scores Stack Up? Kit,1,Call For Pricing,https://www.carolina.com/human-genetics/how-do-polygenic-risk-scores-stack-up-kit/214828.pr,https://www.carolina.com/images/product/large/214828.jpg,"Product Details A unique experience that teaches both graphing literacy and genetics The How Do Polygenic Risk Scores Stack Up? Kit uses authentic data and graphical representations to address 2 central questions: How are traits, such as disease risk, distributed across a population? And how can identifying an individual's risk shape health care decision-making? Recent advances have led to models that combine the impact of genetic risk factors for an individual developing a particular disease into a single calculation known as a polygenic risk score (PRS). To help students understand how these models can affect health decisions, the activity employs 3-dimensional boxes to represent normal and skewed population curves, giving learners a visually impactful hands-on experience with the data. Students use these curves to examine polygenic risk scores and assess a person's risk for 2 different complex diseases. In addition to teaching essential data and graphing skills, the activity also highlights a weakness in current genomic research—lack of diversity—with the hope of equipping the next generation of researchers, health care workers, and consumers to address this critical issue. Product Features Designed for a class of 30 students and easily adaptable to larger classes. Includes 30 unique boxes that stack and rotate to show 4 distinct data distributions. Boxes are foldable for easy storage. Visually impactful examples of normal and skewed distributions. Discusses the need for diversity in current genomic research. Time Requirements One 90-minute block period or two 45-minute periods. Learning Objectives Analyze data on traits within a population to identify patterns within expressed traits. Construct a model of trait distribution across a population and analyze data to determine where an individual lies within that distribution. Discuss how relative diversity within a population sample can impact the clinical utility of an individual's polygenic risk score. Classify a distribution graph as ""normal"" or ""skewed."" Given a data set, build models that illustrate distribution across a population. Explain what a polygenic risk score is and use it to assess an individual's genetic risk of developing a complex disease. Describe the limitations of polygenic risk scores."
Biotechnology,New - Biotechnology,215251,Cap Locks for 1.5-mL Tubes,1,,https://www.carolina.com/biotechnology-tubes/cap-locks-for-1-5-ml-tubes-pack-of-100/215251.pr,https://www.carolina.com/images/product/large/215251.jpg,
Biotechnology,New - Biotechnology,217290,OHAUS Endeavor™ 5000 Light-Duty Orbital Shakers,1,,https://www.carolina.com/other-biotechnology-equipment/ohaus-endeavor-5000-light-duty-orbital-shaker-3-mm-orbit/217290.pr,https://www.carolina.com/images/product/large/217290.jpg,
Biotechnology,New - Biotechnology,211399,"Carolina® PCR Beads, 25 Reactions",1,Call For Pricing,https://www.carolina.com/biotechnology-lab-supplies/carolina-pcr-beads-25-reactions/211399.pr,https://www.carolina.com/images/product/large/211399.jpg,"Product Details Reduce errors, save time, and perform PCR reactions with confidence by using Carolina® PCR Beads. Simply add DNA template and primer mix to a PCR bead then mix and spin, and you are ready to amplify! Enjoy convenient, room-temperature storage and reduction in the number of volumes needed to dispense results. Carolina® PCR Beads produce high yields and reproducible results. Product Features Includes 25 PCR beads sufficient for 25 PCR reactions Stable for up to 9 months at room temperature Suggested for use with thin-walled 0.2-mL or 0.5-mL PCR tubes Each Carolina® PCR Bead contains: dNTP mixture Taq DNA polymerase buffer Taq DNA polymerase MgCl2 Reaction buffer"
Biotechnology,New - Biotechnology,214090,Carolina® High-Speed Microcentrifuges,1,,https://www.carolina.com/laboratory-centrifuges/carolina-ambient-high-speed-microcentrifuge-us-plug/214090.pr,https://www.carolina.com/images/product/large/214090_w.jpg,
Biotechnology,New - Biotechnology,211165,Taq Polymerase Production and Validation Kit,1,,https://www.carolina.com/biotechnology-kits/taq-polymerase-production-and-validation-amplification-kit-with-voucher/211165.pr,https://www.carolina.com/images/product/large/211165.jpg,
Biotechnology,New - Biotechnology,215540,"Multilevel Test Tube Rack, 0.2 to 50 mL",1,Call For Pricing,https://www.carolina.com/other-biotechnology-equipment/multilevel-test-tube-rack-0-2-to-50-ml/215540.pr,https://www.carolina.com/images/product/large/215540.jpg,"Product Details Experience unmatched flexibility and adaptability on your lab bench with the Multilevel Test Tube Rack. Made of durable polypropylene, it accommodates tubes ranging in size from 0.2 mL to 50 mL, all on one convenient, tiered rack. The multilevel structure makes it easy to keep the test tubes organized. Product Features Bottom level can hold twenty-four 0.2-mL tubes, ten 0.5-mL tubes, and seven 1.2-mL tubes Middle level can hold ten 1.5-mL tubes, sixteen 2-mL tubes, and fourteen 5-mL tubes Top level can hold seven 15-mL tubes and four 50-mL tubes Constructed of polypropylene and autoclavable"
Biotechnology,New - Biotechnology,211460,Lab Skills Posters,1,,https://www.carolina.com/other-biotechnology-equipment/how-to-micropipette-lab-skills-poster/211460.pr,https://www.carolina.com/images/product/large/211460.jpg,
Biotechnology,New - Biotechnology,214085A,Carolina® Digital MicroCentrifuge,1,,https://www.carolina.com/other-biotechnology-equipment/carolina-digital-microcentrifuge-us-plug/214085A.pr,https://www.carolina.com/images/product/large/214085A.jpg,
Biotechnology,New - Biotechnology,215096,"Transport Tube, 10 mL, with Cap, Sterile, Pack of 100",100,Call For Pricing,https://www.carolina.com/biotechnology-tubes/transport-tube-10-ml-with-cap-sterile-pack-of-100/215096.pr,https://www.carolina.com/images/product/large/215096.jpg,"Product Details Perfect to store, transport, or freeze solutions, these self-standing transport tubes are fitted with leakproof screw caps and made of high-grade polypropylene. Graduations and marking area are printed in white for easy measuring and labeling. Product Features Pack of 100 tubes 10-mL capacity Graduated Self-standing Leakproof screw caps Polypropylene Sterile"
Biotechnology,New - Biotechnology,FAM_211027,USB-C Electrical Leads with Insulated Alligator Clips,1,Call For Pricing,https://www.carolina.com/lab-equipment-power-supplies/usb-c-electrical-leads-with-insulated-alligator-clips/FAM_211027.pr,https://www.carolina.com/images/product/large/211027.jpg,"Power lab applications with USB-C—and forget the batteries! Delivering 45-V DC when plugged into a USB-C port, these leads replace the battery-to-alligator clip system when used with Exploring Electrophoresis Series kits (items #211033, #211034, #211012, and #211014) and Petri Dish Electrolysis Kit (item #840830)."
Biotechnology,New - Biotechnology,214310,Carolina® Fixed-Volume Micropipettes,1,,https://www.carolina.com/lab-measuring-pipets/carolina-fixed-volume-micropipette-10-ul/214310.pr,https://www.carolina.com/images/product/large/214310.jpg,
Biotechnology,New - Biotechnology,213418,Stem Cells Poster,1,Call For Pricing,https://www.carolina.com/other-biotechnology-equipment/stem-cells-poster/213418.pr,https://www.carolina.com/images/product/large/213418.jpg,"Product Details This informative, illustrated poster depicts and describes stem cells—what they are, how they are made, where they are found—and details prospective future developments in stem cell technology. With sturdy construction and colorful, eye-catching diagrams, the poster is a fantastic addition to any biotechnology or biology classroom. Product Features Measures 23 x 35"" Laminated for durability"
Biotechnology,New - Biotechnology,213417,Biotechnology Poster,1,Call For Pricing,https://www.carolina.com/other-biotechnology-equipment/biotechnology-poster/213417.pr,https://www.carolina.com/images/product/large/213417.jpg,"Product Details This informative, illustrated poster depicts DNA fingerprinting using gel electrophoresis; genetic engineering; polymerase chain reaction (PCR); and vaccine production. With colorful, eye-catching diagrams and sturdy construction, the poster is a fantastic addition to any biotechnology or biology classroom. Product Features Measures 23 x 35"" Laminated for durability"
Biotechnology,New - Biotechnology,211601,"Obliterase, 32 oz",1,Call For Pricing,https://www.carolina.com/biotechnology-lab-supplies/obliterase-32-oz/211601.pr,https://www.carolina.com/images/product/large/211601.jpg,"Product Highlights Use Obliterase to eliminate RNase, DNase, and DNA contamination. Product Features Decontaminates beakers, flasks, pipettes, and tubes Use on glass, plastics, and stainless steel Residue-free Phosphate-free/biodegradable 32-oz spray bottle Directions: Use full strength; do not dilute. Wet item thoroughly by spraying solution and ensure all surfaces are coated. Let item sit for a couple seconds. Then drain and rinse twice with DNase-free water. You can also soak the object in Obliterase, drain, and rinse twice with DNase-free water."
